"ID_Atleta","Nome_Atleta","Apelido","Posição","Status","Clube","Pontos","Preço","Variação","Média","Jogos"
"105294","Patrick de Lucca Chaves de Oliveira","Patrick de Lucca","Meia","Provável","Bahia",1.6,1.06,0.28,0.4,2
"104580","Sandry Roberto Santos Goes","Sandry","Meia","Provável","Santos",2,1.95,0.23,0.83,16
"106219","Kawan Gabriel da Silva","Kawan","Meia","Nulo","Athletico-PR",0,0.72,0,-2.6,1
"110270","Gustavo Mantuan","Gustavo Mantuan","Meia","Contundido","Corinthians",0,2.9,0,1.7,3
"98529","Pedro Henrique Naressi Machado","Pedro Naressi","Meia","Provável","Ceará",6.9,2.35,1.02,1.84,12
"100763","Gabriel Davi Gomes Sara","Gabriel Sara","Meia","Nulo","São Paulo",-1.2,4.04,-0.63,2.56,27
"100079","Federico Matías Javier Zaracho","Zaracho","Meia","Nulo","Atlético-MG",0,7.62,-0.81,1.47,9
"101716","Bruno Roberto Pereira da Silva","Bruninho","Meia","Nulo","Sport",0,3.58,0,1.2,15
"51772","Everton Augusto de Barros Ribeiro","Everton Ribeiro","Meia","Provável","Flamengo",1.6,9.3,-0.65,4.67,31
"108352","Gabriel de Sousa Barros","Gabriel Barros","Meia","Nulo","Flamengo",0,1,0,0,0
"103515","Ramon Rodrigo de Carvalho","Ramon","Meia","Nulo","Bahia",0,0.78,0,-0.37,11
"86770","João Paulo da Silva Alves","João Paulo","Meia","Nulo","Fortaleza",0,4.22,0,0.08,7
"100742","Matheus Henrique de Souza","Matheus Henrique","Meia","Nulo","Grêmio",0,6.05,0,1.98,26
"93790","Marlon Rodrigues Freitas","Marlon Freitas","Meia","Nulo","Atlético-GO",2.3,5.38,0.23,1.51,28
"110465","Daniel Cabral de Oliveira","Daniel Cabral","Meia","Nulo","Flamengo",0,2,0,0,0
"93108","Mateus da Silva Vital Assumpção","Mateus Vital","Meia","Provável","Corinthians",0.9,5.38,0.43,2.88,16
"63289","Edenílson Andrade Dos Santos","Edenílson","Meia","Provável","Internacional",8.4,10,1.35,3.42,32
"110885","Caio Santos Cunha","Caio Cunha","Meia","Nulo","Palmeiras",0,1,0,0,0
"97994","Jefferson Gabriel Nascimento Brito","Fessin","Meia","Nulo","Bahia",0,1.98,0,1.48,16
"109405","Jeferson Douglas dos Santos Souza","Jeferson Douglas","Meia","Nulo","Bahia",0,1,0,0,0
"71937","Paulo Roberto Valoura Júnior","Juninho","Meia","Provável","Fortaleza",3.8,4.57,0.64,2.41,27
"78548","Jean Mota Oliveira de Sousa","Jean Mota","Meia","Provável","Santos",5.5,4.64,0.43,1.58,26
"105899","Ivonei Júnior da Silva Rabelo","Ivonei","Meia","Dúvida","Santos",0,1.02,0,1.15,10
"107755","Murilo Gomes Barreto Neto","Murilo","Meia","Nulo","Internacional",0,1,0,0,0
"110607","Gabriel Cordeiro Pirani","Gabriel Pirani","Meia","Nulo","Santos",0,1,0,0,0
"106002","João Lucas Souza Cardoso","Johnny ","Meia","Nulo","Internacional",-0.6,2,-0.11,1.31,13
"94297","William Oliveira dos Santos","William Oliveira","Meia","Nulo","Ceará",-0.2,1.52,-0.09,0.03,10
"88307","Marcos Vinicius Serrato","Marcos Serrato","Meia","Nulo","Sport",0,2.3,0,-0.1,1
"78478","Willian Souza Arão da Silva","Willian Arão","Meia","Nulo","Flamengo",0,7.88,0,1.42,30
"87863","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","Meia","Provável","Flamengo",14.1,19.33,1.38,6.46,25
"105519","Ricardo Santos Silva","Ricardo","Meia","Nulo","Atlético-GO",0,2,0,0,0
"71162","Vinícius Goes Barbosa de Souza","Vina","Meia","Provável","Ceará",1.8,11.38,-1.17,6.63,29
"81585","Fernando Canesin Matos","Fernando Canesin","Meia","Nulo","Athletico-PR",0,5.18,0,1.61,14
"110604","Adriano Reis Nantes Junior","Juninho","Meia","Nulo","Palmeiras",0,1,0,0,0
"96340","Vinicius Moreira de Lima","Lima","Meia","Provável","Ceará",4.1,6.68,0.47,3.45,29
"101912","Guilherme Nunes da Silva","Guilherme Nunes","Meia","Nulo","Santos",0,1.46,0,1.03,3
"107231","Danilo dos Santos de Oliveira","Danilo","Meia","Provável","Palmeiras",0,1.63,0,1.24,15
